"O" "X" "Y" "XY" "R" "precis" "steady" "time" "steps" "ID"
"27" 99876813.4016835 1.82196833439911e-06 0 0 0.123186598315646 9.06594654189107e-09 1 5408.37511894879 441 "1e-11_1_1_0.85_0_1e-04_1:0_1_1_0_0_1e-04_1"
"28" 99876813.4016794 6.02289195516394e-06 0 0 0.123186598315647 8.66119189783157e-09 1 6705.9955051269 449 "1e-13_1_1_0.9_0_1e-04_1:0_1_1_0_0_1e-04_1"
"29" 99876813.4016822 4.82062857293213e-06 0 0 0.123186598315646 5.56594690472628e-09 1 6878.46049158976 463 "1e-12_1_1_0.9_0_1e-04_1:0_1_1_0_0_1e-04_1"
"30" 99876813.4016851 4.46809486155542e-07 0 0 0.123186598315645 9.20124435207633e-09 1 9036.32927732523 462 "1e-11_1_1_0.9_0_1e-04_1:0_1_1_0_0_1e-04_1"
"31" 99876813.4016844 3.90943982398785e-06 0 0 0.123186598315647 5.82081105212871e-09 1 13218.0196125766 428 "1e-13_1_1_0.95_0_1e-04_1:0_1_1_0_0_1e-04_1"
"32" 99876813.4016756 9.84045932771835e-06 0 0 0.123186598315647 8.27348523225006e-09 1 13238.1894191887 448 "1e-12_1_1_0.95_0_1e-04_1:0_1_1_0_0_1e-04_1"
"33" 99876813.4016857 1.35418391861797e-06 0 0 0.123186598315648 9.87604332098586e-09 1 21943.6833484617 459 "1e-11_1_1_0.95_0_1e-04_1:0_1_1_0_0_1e-04_1"
"34" 99876813.4016802 3.48733444438709e-06 0 0 0.123186598315647 8.82050481685053e-09 1 25082.377359605 438 "1e-13_1_1_0.975_0_1e-04_1:0_1_1_0_0_1e-04_1"
"35" 99876813.4016831 2.13571971700759e-07 0 0 0.123186598315647 4.3374935770872e-09 1 29302.6956722114 420 "1e-12_1_1_0.975_0_1e-04_1:0_1_1_0_0_1e-04_1"
"36" 99876813.4016305 5.45081417699521e-05 0 0 0.123186598315648 6.13816153937142e-09 1 83737.2955261032 438 "1e-11_1_1_0.975_0_1e-04_1:0_1_1_0_0_1e-04_1"
