"O" "X" "Y" "XY" "R" "precis" "steady" "time" "steps" "ID"
"41" 99876813.4016828 8.31818881485281e-15 2.22274899396079e-06 8.76681639634319e-24 0.123186598315646 5.57551134086796e-09 1 8844.74857703451 599 "1e-12_1_1_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"42" 99876813.4016815 3.18299291152193e-13 3.9038697672571e-06 1.14402992152056e-22 0.123186598315646 4.49298829159201e-09 1 8647.41674625582 604 "1e-11_1_1_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"43" 99876813.4016825 1.4061937119137e-15 1.81569016543526e-06 -2.75066852040721e-26 0.123186598315647 6.21350995857834e-09 1 8811.01242475975 560 "1e-13_10_1_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"44" 99876813.4016802 3.17160949768942e-15 4.38115544824306e-06 -5.66970144885408e-25 0.123186598315647 8.86275853230423e-09 1 8622.65009798759 628 "1e-12_10_1_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"45" 99876813.4016815 3.82332492694925e-13 2.99615887624909e-06 -2.39034928912845e-23 0.123186598315647 6.60176534659968e-09 1 8722.31427186048 604 "1e-11_10_1_0.85_-0.05_1e-08_1:1e-12_1_0.01_0.9_-0.05_1e-08_1"
"46" 99876813.4016814 1.36162087580123e-15 3.15167863641293e-06 -1.96695934122524e-26 0.123186598315647 6.93733652018483e-09 1 8691.64350074927 560 "1e-13_0.001_1_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"47" 99876813.4016801 3.42136652551153e-15 6.90496657300283e-06 -2.39799892092175e-24 0.123186598315647 9.60939092845441e-09 1 8536.87290297016 627 "1e-12_0.001_1_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"48" 99876813.4016827 5.02317564990324e-13 4.37209036779767e-06 2.03597265546897e-22 0.123186598315646 4.38372712444133e-09 1 8636.00912420221 654 "1e-11_0.001_1_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"49" 99876813.4016832 6.55280465061888e-16 -4.35946666260696e-08 2.08032609871801e-26 0.123186598315646 2.29871084120295e-10 1 10753.7908776265 568 "1e-13_1_1_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"50" 99876813.4016854 1.61418663650811e-15 2.58879896377984e-06 4.20895742680015e-24 0.123186598315646 8.36302663998391e-09 1 8775.55148887157 607 "1e-12_1_1_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"51" 99876813.4016829 4.88263584535007e-13 4.0990733223275e-06 -8.60931918274489e-23 0.123186598315646 4.47162564430094e-09 1 8647.88364532141 619 "1e-11_1_1_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"52" 99876813.4016833 6.01860339680236e-16 -1.33566749930937e-07 2.66146261476198e-26 0.123186598315646 2.73594897160634e-09 1 10530.6511047614 567 "1e-13_10_1_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
"53" 99876813.4016827 1.79719229180969e-15 4.38278778026437e-06 -2.088833108517e-24 0.123186598315646 4.39399666013531e-09 1 8639.44803329825 579 "1e-12_10_1_0.85_-0.05_1e-08_1:1e-12_10_0.01_0.9_-0.05_1e-08_1"
