"alone1" "alone2" "intra1fx" "intra2fx" "inter1fx" "inter2fx" "fit_alone1" "fit_alone2" "epis" "loss" "loss2" "p1" "p2" "comb" "intra1" "intra2" "inter1" "inter2" "fitness" "cotransf" "exx1fx" "exx2fx" "lossXY" "time"
"1e-13_1_1_0.9_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-13 0 1 1 1 1 0.9 0 0 1e-06 1 "1e-13_1_1_0.9_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-13_1_1_0.9_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-13 0 1e-13 0 0 0 1e-13 0 1e-06 7739
"1e-12_1_1_0.9_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-12 0 1 1 1 1 0.9 0 0 1e-06 1 "1e-12_1_1_0.9_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-12_1_1_0.9_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-12 0 1e-12 0 0 0 1e-12 0 1e-06 7781
"1e-11_1_1_0.9_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-11 0 1 1 1 1 0.9 0 0 1e-06 1 "1e-11_1_1_0.9_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-11_1_1_0.9_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-11 0 1e-11 0 0 0 1e-11 0 1e-06 9568
"1e-10_1_1_0.9_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-10 0 1 1 1 1 0.9 0 0 1e-06 1 "1e-10_1_1_0.9_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-10_1_1_0.9_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-10 0 1e-10 0 0 0 1e-10 0 1e-06 36184
"1e-13_1_1_0.95_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-13 0 1 1 1 1 0.95 0 0 1e-06 1 "1e-13_1_1_0.95_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-13_1_1_0.95_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-13 0 1e-13 0 0 0 1e-13 0 1e-06 17019
"1e-12_1_1_0.95_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-12 0 1 1 1 1 0.95 0 0 1e-06 1 "1e-12_1_1_0.95_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-12_1_1_0.95_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-12 0 1e-12 0 0 0 1e-12 0 1e-06 16206
"1e-11_1_1_0.95_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-11 0 1 1 1 1 0.95 0 0 1e-06 1 "1e-11_1_1_0.95_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-11_1_1_0.95_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-11 0 1e-11 0 0 0 1e-11 0 1e-06 24889
"1e-10_1_1_0.95_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-10 0 1 1 1 1 0.95 0 0 1e-06 1 "1e-10_1_1_0.95_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-10_1_1_0.95_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-10 0 1e-10 0 0 0 1e-10 0 1e-06 48996
"1e-13_1_1_0.975_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-13 0 1 1 1 1 0.975 0 0 1e-06 1 "1e-13_1_1_0.975_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-13_1_1_0.975_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-13 0 1e-13 0 0 0 1e-13 0 1e-06 29894
"1e-12_1_1_0.975_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-12 0 1 1 1 1 0.975 0 0 1e-06 1 "1e-12_1_1_0.975_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-12_1_1_0.975_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-12 0 1e-12 0 0 0 1e-12 0 1e-06 34622
"1e-11_1_1_0.975_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-11 0 1 1 1 1 0.975 0 0 1e-06 1 "1e-11_1_1_0.975_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-11_1_1_0.975_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-11 0 1e-11 0 0 0 1e-11 0 1e-06 129412
"1e-10_1_1_0.975_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-10 0 1 1 1 1 0.975 0 0 1e-06 1 "1e-10_1_1_0.975_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-10_1_1_0.975_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-10 0 1e-10 0 0 0 1e-10 0 1e-06 34390
"1e-13_1_1_1_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-13 0 1 1 1 1 1 0 0 1e-06 1 "1e-13_1_1_1_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-13_1_1_1_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-13 0 1e-13 0 0 0 1e-13 0 1e-06 28763759
"1e-12_1_1_1_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-12 0 1 1 1 1 1 0 0 1e-06 1 "1e-12_1_1_1_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-12_1_1_1_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-12 0 1e-12 0 0 0 1e-12 0 1e-06 2386270
"1e-11_1_1_1_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-11 0 1 1 1 1 1 0 0 1e-06 1 "1e-11_1_1_1_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-11_1_1_1_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-11 0 1e-11 0 0 0 1e-11 0 1e-06 200465
