"X" "XY" "X_XY" "Y" "ID"
"73" 3383 2493 3383 12084 "1e-13_1_1_0.85_0_1e-08_1:1e-13_1_1_0.95_0_1e-08_1"
"74" 3384 2825 3384 12083 "1e-12_1_1_0.85_0_1e-08_1:1e-13_1_1_0.95_0_1e-08_1"
"75" 3404 3357 3404 12080 "1e-11_1_1_0.85_0_1e-08_1:1e-13_1_1_0.95_0_1e-08_1"
"76" 3329 2778 3329 12514 "1e-13_1_1_0.85_0_1e-08_1:1e-12_1_1_0.95_0_1e-08_1"
"77" 3331 2899 3331 12514 "1e-12_1_1_0.85_0_1e-08_1:1e-12_1_1_0.95_0_1e-08_1"
"78" 3349 3333 3349 12511 "1e-11_1_1_0.85_0_1e-08_1:1e-12_1_1_0.95_0_1e-08_1"
"79" 2865 2828 2865 19528 "1e-13_1_1_0.85_0_1e-08_1:1e-11_1_1_0.95_0_1e-08_1"
"80" 2866 2853 2866 19528 "1e-12_1_1_0.85_0_1e-08_1:1e-11_1_1_0.95_0_1e-08_1"
"81" 2879 3110 3110 19518 "1e-11_1_1_0.85_0_1e-08_1:1e-11_1_1_0.95_0_1e-08_1"
"82" 5805 4670 5805 12025 "1e-13_1_1_0.9_0_1e-08_1:1e-13_1_1_0.95_0_1e-08_1"
"83" 5831 5025 5831 12024 "1e-12_1_1_0.9_0_1e-08_1:1e-13_1_1_0.95_0_1e-08_1"
"84" 6236 5580 6236 12013 "1e-11_1_1_0.9_0_1e-08_1:1e-13_1_1_0.95_0_1e-08_1"
"85" 5787 5011 5787 12451 "1e-13_1_1_0.9_0_1e-08_1:1e-12_1_1_0.95_0_1e-08_1"
"86" 5810 5144 5810 12450 "1e-12_1_1_0.9_0_1e-08_1:1e-12_1_1_0.95_0_1e-08_1"
"87" 6186 5623 6186 12437 "1e-11_1_1_0.9_0_1e-08_1:1e-12_1_1_0.95_0_1e-08_1"
"88" 5036 4949 5036 19428 "1e-13_1_1_0.9_0_1e-08_1:1e-11_1_1_0.95_0_1e-08_1"
"89" 5041 4995 5041 19426 "1e-12_1_1_0.9_0_1e-08_1:1e-11_1_1_0.95_0_1e-08_1"
"90" 5106 5501 5501 19382 "1e-11_1_1_0.9_0_1e-08_1:1e-11_1_1_0.95_0_1e-08_1"
"91" 11869 7633 11869 11869 "1e-13_1_1_0.95_0_1e-08_1:1e-13_1_1_0.95_0_1e-08_1"
"92" 12223 8073 12223 11861 "1e-12_1_1_0.95_0_1e-08_1:1e-13_1_1_0.95_0_1e-08_1"
"93" 18829 9782 18829 11692 "1e-11_1_1_0.95_0_1e-08_1:1e-13_1_1_0.95_0_1e-08_1"
"94" 11861 8073 11861 12223 "1e-13_1_1_0.95_0_1e-08_1:1e-12_1_1_0.95_0_1e-08_1"
"95" 12205 8304 12205 12205 "1e-12_1_1_0.95_0_1e-08_1:1e-12_1_1_0.95_0_1e-08_1"
