"alone1" "alone2" "intra1fx" "intra2fx" "inter1fx" "inter2fx" "fit_alone1" "fit_alone2" "epis" "loss" "loss2" "p1" "p2" "comb" "intra1" "intra2" "inter1" "inter2" "fitness" "cotransf" "exx1fx" "exx2fx" "lossXY" "time"
"1e-11_1_1_0.95_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-11 1e-12 1 1 1 1 0.95 0.85 0 1e-08 1 "1e-11_1_1_0.95_0_1e-08_1" "1e-12_1_1_0.85_0_1e-08_1" "1e-11_1_1_0.95_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-11 1e-12 1e-11 1e-12 0.8075 1e-12 1e-11 1e-12 1e-08 26847
"1e-13_1_1_0.95_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-13 1e-11 1 1 1 1 0.95 0.85 0 1e-08 1 "1e-13_1_1_0.95_0_1e-08_1" "1e-11_1_1_0.85_0_1e-08_1" "1e-13_1_1_0.95_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-13 1e-11 1e-13 1e-11 0.8075 1e-13 1e-13 1e-11 1e-08 16978
"1e-12_1_1_0.95_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-12 1e-11 1 1 1 1 0.95 0.85 0 1e-08 1 "1e-12_1_1_0.95_0_1e-08_1" "1e-11_1_1_0.85_0_1e-08_1" "1e-12_1_1_0.95_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-12 1e-11 1e-12 1e-11 0.8075 1e-12 1e-12 1e-11 1e-08 18068
"1e-11_1_1_0.95_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-11 1e-11 1 1 1 1 0.95 0.85 0 1e-08 1 "1e-11_1_1_0.95_0_1e-08_1" "1e-11_1_1_0.85_0_1e-08_1" "1e-11_1_1_0.95_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-11 1e-11 1e-11 1e-11 0.8075 1e-11 1e-11 1e-11 1e-08 39519
"1e-13_1_1_0.975_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1" 1e-13 1e-13 1 1 1 1 0.975 0.85 0 1e-08 1 "1e-13_1_1_0.975_0_1e-08_1" "1e-13_1_1_0.85_0_1e-08_1" "1e-13_1_1_0.975_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1" 1e-13 1e-13 1e-13 1e-13 0.82875 1e-13 1e-13 1e-13 1e-08 37361
"1e-12_1_1_0.975_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1" 1e-12 1e-13 1 1 1 1 0.975 0.85 0 1e-08 1 "1e-12_1_1_0.975_0_1e-08_1" "1e-13_1_1_0.85_0_1e-08_1" "1e-12_1_1_0.975_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1" 1e-12 1e-13 1e-12 1e-13 0.82875 1e-13 1e-12 1e-13 1e-08 43610
"1e-11_1_1_0.975_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1" 1e-11 1e-13 1 1 1 1 0.975 0.85 0 1e-08 1 "1e-11_1_1_0.975_0_1e-08_1" "1e-13_1_1_0.85_0_1e-08_1" "1e-11_1_1_0.975_0_1e-08_1:1e-13_1_1_0.85_0_1e-08_1" 1e-11 1e-13 1e-11 1e-13 0.82875 1e-13 1e-11 1e-13 1e-08 154941
"1e-13_1_1_0.975_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-13 1e-12 1 1 1 1 0.975 0.85 0 1e-08 1 "1e-13_1_1_0.975_0_1e-08_1" "1e-12_1_1_0.85_0_1e-08_1" "1e-13_1_1_0.975_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-13 1e-12 1e-13 1e-12 0.82875 1e-13 1e-13 1e-12 1e-08 35337
"1e-12_1_1_0.975_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-12 1e-12 1 1 1 1 0.975 0.85 0 1e-08 1 "1e-12_1_1_0.975_0_1e-08_1" "1e-12_1_1_0.85_0_1e-08_1" "1e-12_1_1_0.975_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-12 1e-12 1e-12 1e-12 0.82875 1e-12 1e-12 1e-12 1e-08 40781
"1e-11_1_1_0.975_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-11 1e-12 1 1 1 1 0.975 0.85 0 1e-08 1 "1e-11_1_1_0.975_0_1e-08_1" "1e-12_1_1_0.85_0_1e-08_1" "1e-11_1_1_0.975_0_1e-08_1:1e-12_1_1_0.85_0_1e-08_1" 1e-11 1e-12 1e-11 1e-12 0.82875 1e-12 1e-11 1e-12 1e-08 167188
"1e-13_1_1_0.975_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-13 1e-11 1 1 1 1 0.975 0.85 0 1e-08 1 "1e-13_1_1_0.975_0_1e-08_1" "1e-11_1_1_0.85_0_1e-08_1" "1e-13_1_1_0.975_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-13 1e-11 1e-13 1e-11 0.82875 1e-13 1e-13 1e-11 1e-08 33179
"1e-12_1_1_0.975_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-12 1e-11 1 1 1 1 0.975 0.85 0 1e-08 1 "1e-12_1_1_0.975_0_1e-08_1" "1e-11_1_1_0.85_0_1e-08_1" "1e-12_1_1_0.975_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-12 1e-11 1e-12 1e-11 0.82875 1e-12 1e-12 1e-11 1e-08 35467
"1e-11_1_1_0.975_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-11 1e-11 1 1 1 1 0.975 0.85 0 1e-08 1 "1e-11_1_1_0.975_0_1e-08_1" "1e-11_1_1_0.85_0_1e-08_1" "1e-11_1_1_0.975_0_1e-08_1:1e-11_1_1_0.85_0_1e-08_1" 1e-11 1e-11 1e-11 1e-11 0.82875 1e-11 1e-11 1e-11 1e-08 145312
"1e-13_1_1_0.85_0_1e-08_1:1e-13_1_1_0.9_0_1e-08_1" 1e-13 1e-13 1 1 1 1 0.85 0.9 0 1e-08 1 "1e-13_1_1_0.85_0_1e-08_1" "1e-13_1_1_0.9_0_1e-08_1" "1e-13_1_1_0.85_0_1e-08_1:1e-13_1_1_0.9_0_1e-08_1" 1e-13 1e-13 1e-13 1e-13 0.765 1e-13 1e-13 1e-13 1e-08 8429
"1e-12_1_1_0.85_0_1e-08_1:1e-13_1_1_0.9_0_1e-08_1" 1e-12 1e-13 1 1 1 1 0.85 0.9 0 1e-08 1 "1e-12_1_1_0.85_0_1e-08_1" "1e-13_1_1_0.9_0_1e-08_1" "1e-12_1_1_0.85_0_1e-08_1:1e-13_1_1_0.9_0_1e-08_1" 1e-12 1e-13 1e-12 1e-13 0.765 1e-13 1e-12 1e-13 1e-08 9075
"1e-11_1_1_0.85_0_1e-08_1:1e-13_1_1_0.9_0_1e-08_1" 1e-11 1e-13 1 1 1 1 0.85 0.9 0 1e-08 1 "1e-11_1_1_0.85_0_1e-08_1" "1e-13_1_1_0.9_0_1e-08_1" "1e-11_1_1_0.85_0_1e-08_1:1e-13_1_1_0.9_0_1e-08_1" 1e-11 1e-13 1e-11 1e-13 0.765 1e-13 1e-11 1e-13 1e-08 8517
"1e-13_1_1_0.85_0_1e-08_1:1e-12_1_1_0.9_0_1e-08_1" 1e-13 1e-12 1 1 1 1 0.85 0.9 0 1e-08 1 "1e-13_1_1_0.85_0_1e-08_1" "1e-12_1_1_0.9_0_1e-08_1" "1e-13_1_1_0.85_0_1e-08_1:1e-12_1_1_0.9_0_1e-08_1" 1e-13 1e-12 1e-13 1e-12 0.765 1e-13 1e-13 1e-12 1e-08 8615
"1e-12_1_1_0.85_0_1e-08_1:1e-12_1_1_0.9_0_1e-08_1" 1e-12 1e-12 1 1 1 1 0.85 0.9 0 1e-08 1 "1e-12_1_1_0.85_0_1e-08_1" "1e-12_1_1_0.9_0_1e-08_1" "1e-12_1_1_0.85_0_1e-08_1:1e-12_1_1_0.9_0_1e-08_1" 1e-12 1e-12 1e-12 1e-12 0.765 1e-12 1e-12 1e-12 1e-08 8654
"1e-11_1_1_0.85_0_1e-08_1:1e-12_1_1_0.9_0_1e-08_1" 1e-11 1e-12 1 1 1 1 0.85 0.9 0 1e-08 1 "1e-11_1_1_0.85_0_1e-08_1" "1e-12_1_1_0.9_0_1e-08_1" "1e-11_1_1_0.85_0_1e-08_1:1e-12_1_1_0.9_0_1e-08_1" 1e-11 1e-12 1e-11 1e-12 0.765 1e-12 1e-11 1e-12 1e-08 8718
"1e-13_1_1_0.85_0_1e-08_1:1e-11_1_1_0.9_0_1e-08_1" 1e-13 1e-11 1 1 1 1 0.85 0.9 0 1e-08 1 "1e-13_1_1_0.85_0_1e-08_1" "1e-11_1_1_0.9_0_1e-08_1" "1e-13_1_1_0.85_0_1e-08_1:1e-11_1_1_0.9_0_1e-08_1" 1e-13 1e-11 1e-13 1e-11 0.765 1e-13 1e-13 1e-11 1e-08 10593
"1e-12_1_1_0.85_0_1e-08_1:1e-11_1_1_0.9_0_1e-08_1" 1e-12 1e-11 1 1 1 1 0.85 0.9 0 1e-08 1 "1e-12_1_1_0.85_0_1e-08_1" "1e-11_1_1_0.9_0_1e-08_1" "1e-12_1_1_0.85_0_1e-08_1:1e-11_1_1_0.9_0_1e-08_1" 1e-12 1e-11 1e-12 1e-11 0.765 1e-12 1e-12 1e-11 1e-08 10484
"1e-11_1_1_0.85_0_1e-08_1:1e-11_1_1_0.9_0_1e-08_1" 1e-11 1e-11 1 1 1 1 0.85 0.9 0 1e-08 1 "1e-11_1_1_0.85_0_1e-08_1" "1e-11_1_1_0.9_0_1e-08_1" "1e-11_1_1_0.85_0_1e-08_1:1e-11_1_1_0.9_0_1e-08_1" 1e-11 1e-11 1e-11 1e-11 0.765 1e-11 1e-11 1e-11 1e-08 10239
"1e-13_1_1_0.9_0_1e-08_1:1e-13_1_1_0.9_0_1e-08_1" 1e-13 1e-13 1 1 1 1 0.9 0.9 0 1e-08 1 "1e-13_1_1_0.9_0_1e-08_1" "1e-13_1_1_0.9_0_1e-08_1" "1e-13_1_1_0.9_0_1e-08_1:1e-13_1_1_0.9_0_1e-08_1" 1e-13 1e-13 1e-13 1e-13 0.81 1e-13 1e-13 1e-13 1e-08 8977
"1e-12_1_1_0.9_0_1e-08_1:1e-13_1_1_0.9_0_1e-08_1" 1e-12 1e-13 1 1 1 1 0.9 0.9 0 1e-08 1 "1e-12_1_1_0.9_0_1e-08_1" "1e-13_1_1_0.9_0_1e-08_1" "1e-12_1_1_0.9_0_1e-08_1:1e-13_1_1_0.9_0_1e-08_1" 1e-12 1e-13 1e-12 1e-13 0.81 1e-13 1e-12 1e-13 1e-08 8549
"1e-11_1_1_0.9_0_1e-08_1:1e-13_1_1_0.9_0_1e-08_1" 1e-11 1e-13 1 1 1 1 0.9 0.9 0 1e-08 1 "1e-11_1_1_0.9_0_1e-08_1" "1e-13_1_1_0.9_0_1e-08_1" "1e-11_1_1_0.9_0_1e-08_1:1e-13_1_1_0.9_0_1e-08_1" 1e-11 1e-13 1e-11 1e-13 0.81 1e-13 1e-11 1e-13 1e-08 10877
"1e-13_1_1_0.9_0_1e-08_1:1e-12_1_1_0.9_0_1e-08_1" 1e-13 1e-12 1 1 1 1 0.9 0.9 0 1e-08 1 "1e-13_1_1_0.9_0_1e-08_1" "1e-12_1_1_0.9_0_1e-08_1" "1e-13_1_1_0.9_0_1e-08_1:1e-12_1_1_0.9_0_1e-08_1" 1e-13 1e-12 1e-13 1e-12 0.81 1e-13 1e-13 1e-12 1e-08 8797
"1e-12_1_1_0.9_0_1e-08_1:1e-12_1_1_0.9_0_1e-08_1" 1e-12 1e-12 1 1 1 1 0.9 0.9 0 1e-08 1 "1e-12_1_1_0.9_0_1e-08_1" "1e-12_1_1_0.9_0_1e-08_1" "1e-12_1_1_0.9_0_1e-08_1:1e-12_1_1_0.9_0_1e-08_1" 1e-12 1e-12 1e-12 1e-12 0.81 1e-12 1e-12 1e-12 1e-08 8758
"1e-11_1_1_0.9_0_1e-08_1:1e-12_1_1_0.9_0_1e-08_1" 1e-11 1e-12 1 1 1 1 0.9 0.9 0 1e-08 1 "1e-11_1_1_0.9_0_1e-08_1" "1e-12_1_1_0.9_0_1e-08_1" "1e-11_1_1_0.9_0_1e-08_1:1e-12_1_1_0.9_0_1e-08_1" 1e-11 1e-12 1e-11 1e-12 0.81 1e-12 1e-11 1e-12 1e-08 10120
"1e-13_1_1_0.9_0_1e-08_1:1e-11_1_1_0.9_0_1e-08_1" 1e-13 1e-11 1 1 1 1 0.9 0.9 0 1e-08 1 "1e-13_1_1_0.9_0_1e-08_1" "1e-11_1_1_0.9_0_1e-08_1" "1e-13_1_1_0.9_0_1e-08_1:1e-11_1_1_0.9_0_1e-08_1" 1e-13 1e-11 1e-13 1e-11 0.81 1e-13 1e-13 1e-11 1e-08 10151
"1e-12_1_1_0.9_0_1e-08_1:1e-11_1_1_0.9_0_1e-08_1" 1e-12 1e-11 1 1 1 1 0.9 0.9 0 1e-08 1 "1e-12_1_1_0.9_0_1e-08_1" "1e-11_1_1_0.9_0_1e-08_1" "1e-12_1_1_0.9_0_1e-08_1:1e-11_1_1_0.9_0_1e-08_1" 1e-12 1e-11 1e-12 1e-11 0.81 1e-12 1e-12 1e-11 1e-08 10124
"1e-11_1_1_0.9_0_1e-08_1:1e-11_1_1_0.9_0_1e-08_1" 1e-11 1e-11 1 1 1 1 0.9 0.9 0 1e-08 1 "1e-11_1_1_0.9_0_1e-08_1" "1e-11_1_1_0.9_0_1e-08_1" "1e-11_1_1_0.9_0_1e-08_1:1e-11_1_1_0.9_0_1e-08_1" 1e-11 1e-11 1e-11 1e-11 0.81 1e-11 1e-11 1e-11 1e-08 10298
"1e-13_1_1_0.95_0_1e-08_1:1e-13_1_1_0.9_0_1e-08_1" 1e-13 1e-13 1 1 1 1 0.95 0.9 0 1e-08 1 "1e-13_1_1_0.95_0_1e-08_1" "1e-13_1_1_0.9_0_1e-08_1" "1e-13_1_1_0.95_0_1e-08_1:1e-13_1_1_0.9_0_1e-08_1" 1e-13 1e-13 1e-13 1e-13 0.855 1e-13 1e-13 1e-13 1e-08 16717
"1e-12_1_1_0.95_0_1e-08_1:1e-13_1_1_0.9_0_1e-08_1" 1e-12 1e-13 1 1 1 1 0.95 0.9 0 1e-08 1 "1e-12_1_1_0.95_0_1e-08_1" "1e-13_1_1_0.9_0_1e-08_1" "1e-12_1_1_0.95_0_1e-08_1:1e-13_1_1_0.9_0_1e-08_1" 1e-12 1e-13 1e-12 1e-13 0.855 1e-13 1e-12 1e-13 1e-08 17286
"1e-11_1_1_0.95_0_1e-08_1:1e-13_1_1_0.9_0_1e-08_1" 1e-11 1e-13 1 1 1 1 0.95 0.9 0 1e-08 1 "1e-11_1_1_0.95_0_1e-08_1" "1e-13_1_1_0.9_0_1e-08_1" "1e-11_1_1_0.95_0_1e-08_1:1e-13_1_1_0.9_0_1e-08_1" 1e-11 1e-13 1e-11 1e-13 0.855 1e-13 1e-11 1e-13 1e-08 27226
